Timestamp (ms), RPM SEC
4211020,1589
4211045,1600
4211060,2762
4211082,1777
4211104,1798
4211131,1524
4211149,2170
4211174,1594
4211199,1613
4211213,2869
4211249,1661
4211265,2436
4211299,1780
4211324,1609
4211349,1590
4211364,2722
4211392,1427
4211413,1903
4211433,1969
4211459,1548
4211483,1657
4211509,1550
4211533,1663
4211559,1542
4211583,1662
4211609,1548
4211633,1655
4211659,1546
4211683,1656
4211715,1860
4211740,1597
4211756,2497
4211789,1215
4211804,2708
4211841,1638
4211864,1721
4211890,1527
4211915,1598
4211939,1639
4211954,2704
4211976,1823
4212004,1424
4212035,1930
4212056,1976
4212082,1490
4212101,2155
4212126,1600
4212150,1647
4212165,2714
4212202,1640
4212226,1638
4212252,1560
4212276,1642
4212302,1552
4212332,1313
4212354,1792
4212379,1630
4212404,1600
4212429,1597
4212454,1604
4212479,1591
4212504,1601
4212529,1609
4212554,1591
4212579,1599
4212604,1601
4212635,1274
4212664,1381
4212690,1564
4212723,1206
4212750,1517
4212784,1162
4212812,1412
4212839,1468
4212868,1403
4212898,1318
4212934,1122
4212964,1329
4213013,821
4213037,1652
4213068,1306
4213113,885
4213137,1673
4213167,1337
4213194,1437
4213226,1253
4213268,1428
4213293,1600
4213321,1445
4213348,1466
4213372,1679
4213407,1697
4213428,1930
4213452,1653
4213478,1561
4213509,1265
4213536,1486
4213561,1607
4213604,1414
4213627,1739
4213651,1640
4213679,1416
4213701,1849
4213731,1313
4213756,1604
4213772,2594
4213807,1150
4213821,2726
4213856,1133
4213871,2778
4213949,1527
4213966,2378
4213990,1707
4214016,1518
4214041,1602
4214067,1547
4214091,1657
4214117,1538
4214141,1668
4214167,1522
4214199,1249
4214222,1748
4214254,1276
4214279,1588
4214311,1224
4214347,1131
4214375,1395
4214411,1108
4214447,1135
4214478,1291
4214521,922
4214552,1293
4214600,830
4214630,1357
4214675,880
4214707,1240
4214750,935
4214782,1233
4214825,938
4214855,1311
4214888,1228
4214919,1296
4214954,1140
4214984,1351
4215018,1164
4215054,1108
4215094,1004
4215134,1001
4215185,777
4215216,1295
4215261,896
4215311,797
4215361,800
4215392,1295
4215443,783
4215492,819
4215529,1070
4215569,996
4215613,916
4215648,1139
4215689,967
4215721,1260
4215764,926
4215795,1281
4215826,1317
4215870,892
4215903,1237
4215945,947
4215984,1022
4216025,987
4216070,881
4216108,1044
4216150,962
4216190,986
4216225,1168
4216256,1266
4216290,1193
4216325,1145
4216356,1284
4216390,1178
4216442,1156
4216469,1464
4216504,1125
4216537,1227
4216580,929
4216615,1141
4216655,999
4216705,796
4216736,1292
4216767,1304
4216799,1258
4216834,1136
4216867,1202
4216909,957
4216939,1313
4216970,1316
4216997,1487
4217028,1270
4217074,866
4217099,1618
4217125,1546
4217157,1253
4217190,1212
4217229,1018
4217274,887
4217307,1229
4217338,1270
4217380,949
4217406,1573
4217435,1363
4217471,1115
4217504,1206
4217534,1321
4217564,1373
4217605,965
4217634,1361
4217670,1110
4217710,1020
4217742,1233
4217784,953
4217815,1305
4217850,1114
4217884,1194
4217918,1177
4217959,971
4217990,1288
4218021,1298
4218053,1261
4218088,1134
4218121,1214
4218147,1554
4218188,967
4218221,1212
4218253,1247
4218288,1145
4218318,1320
4218350,1251
4218389,1034
4218422,1195
4218455,1215
4218490,1150
4218523,1226
4218555,1246
4218590,1134
4218622,1264
4218652,1302
4218684,1253
4218720,1122
4218744,1657
4218775,1288
4218820,895
4218844,1648
4218869,1571
4218902,1240
4218934,1246
4218972,1042
4219004,1255
4219028,1641
4219072,908
4219097,1628
4219121,1634
4219154,1218
4219186,1251
4219213,1473
4219250,1088
4219278,1424
4219308,1335
4219341,1232
4219374,1179
4219406,1271
4219440,1180
4219479,1031
4219509,1323
4219544,1148
4219584,996
4219617,1213
4219649,1224
4219685,1115
4219716,1285
4219749,1233
4219790,959
4219815,1622
4219844,1385
4219879,1157
4219915,1091
4219952,1090
4219975,1698
4220016,980
4220041,1597
4220073,1239
4220107,1179
4220145,1069
4220177,1235
4220209,1257
4220244,1144
4220281,1085
4220303,1790
4220344,979
4220369,1600
4220400,1278
4220433,1209
4220474,974
4220507,1242
4220538,1266
4220574,1108
4220610,1121
4220632,1774
4220667,1157
4220701,1176
4220731,1326
4220782,1185
4220810,1422
4220842,1226
4220879,1095
4220904,1600
4220935,1281
4220990,1088
4221015,1626
4221054,1027
4221080,1530
4221111,1282
4221143,1260
4221171,1402
4221204,1235
4221234,1308
4221264,1367
4221294,1301
4221336,971
4221360,1637
4221389,1368
4221416,1474
4221448,1245
4221476,1431
4221510,1185
4221539,1380
4221564,1590
4221593,1397
4221624,1296
4221651,1490
4221692,976
4221710,2154
4221739,1377
4221769,1341
4221799,1335
4221835,1105
4221860,1606
4221889,1361
4221918,1401
4221949,1291
4221985,1109
4222016,1272
4222042,1578
4222073,1296
4222096,1717
4222125,1358
4222155,1337
4222192,1093
4222215,1748
4222241,1541
4222266,1600
4222296,1316
4222336,1500
4222358,1812
4222387,1387
4222414,1480
4222437,1758
4222483,1304
4222501,2195
4222527,1534
4222553,1535
4222579,1524
4222605,1544
4222631,1562
4222661,1303
4222686,1629
4222707,1876
4222736,1392
4222759,1782
4222786,1474
4222808,1793
4222835,1467
4222859,1665
4222885,1532
4222911,1574
4222936,1576
4222961,1580
4222986,1622
4223016,1324
4223039,1792
4223066,1457
4223089,1768
4223116,1451
4223139,1776
4223166,1451
4223189,1771
4223215,1539
4223239,1666
4223265,1528
4223289,1682
4223316,1453
4223339,1759
4223366,1467
4223391,1637
4223413,1805
4223437,1661
4223462,1602
4223487,1599
4223512,1599
4223537,1592
4223562,1606
4223587,1599
4223612,1602
4223636,1674
4223662,1531
4223678,2445
4223703,1635
4223728,1569
4223751,1729
4223776,1653
4223800,1663
4223823,1685
4223847,1671
4223871,1663
4223895,1680
4223920,1597
4223944,1682
4223970,1516
4223994,1693
4224020,1537
4224040,2001
4224064,1674
4224090,1530
4224115,1602
4224146,1281
4224168,1808
4224184,2472
